"","cali_intc_extAvg_W0","cali_intc_extAvg_W1","cali_intc_estsd_extAvg_W0","cali_intc_estsd_extAvg_W1","cali_intc_byAvg_W0","cali_intc_byAvg_W1","cali_intc_estsd_byAvg_W0","cali_intc_estsd_byAvg_W1","cali_intc_rej_byAvg_W0","cali_intc_rej_byAvg_W1","cali_intc_byAgt_W0","cali_intc_byAgt_W1","cali_intc_estsd_byAgt_W0","cali_intc_estsd_byAgt_W1","cali_intc_byAvg_1fold_W0","cali_intc_byAvg_1fold_W1","cali_intc_estsd_byAvg_1fold_W0","cali_intc_estsd_byAvg_1fold_W1","cali_intc_rej_byAvg_1fold_W0","cali_intc_rej_byAvg_1fold_W1","cali_intc_extAvg_1fold_W0","cali_intc_extAvg_1fold_W1","cali_intc_estsd_extAvg_1fold_W0","cali_intc_estsd_extAvg_1fold_W1","cali_intc_rej_extAvg_1fold_W0","cali_intc_rej_extAvg_1fold_W1","cali_intc_byAvg_2fold_W0","cali_intc_byAvg_2fold_W1","cali_intc_estsd_byAvg_2fold_W0","cali_intc_estsd_byAvg_2fold_W1","cali_intc_rej_byAvg_2fold_W0","cali_intc_rej_byAvg_2fold_W1","cali_intc_extAvg_2fold_W0","cali_intc_extAvg_2fold_W1","cali_intc_estsd_extAvg_2fold_W0","cali_intc_estsd_extAvg_2fold_W1","cali_intc_rej_extAvg_2fold_W0","cali_intc_rej_extAvg_2fold_W1"
"result.1",0.0499188889683593,0.0118120239630195,0.097054169646518,0.097054169646518,-0.00257087261195446,-0.000532175059787516,0.0991397373967324,0.0218704547636647,0,0,0.00194015028595058,-0.000794784734062287,0.0978402493066014,0.0218687063439779,0.396152634608781,-0.0260321151966491,0.127129213368274,0.0309201028907137,0,0,0.28637341420895,-0.0128616192906551,0.134794828608238,0.03088918264192,0,0,-0.40129437983269,0.0249677650770741,0.153280309024858,0.0309388845933701,0,0,-0.186535636272232,0.0364856672166942,0.139715817389692,0.0307717250919595,0,0
"result.2",0.0134816792849485,0.0452075894983087,0.0901630887481946,0.0901630887481946,-0.00179722949573966,-0.0006815668458919,0.0916789260042923,0.0224512074590427,0,0,-0.00262381780667288,-0.000558504464657542,0.0915994122030711,0.0224456701483424,-0.131888193989987,-0.0567061798436107,0.132867740936064,0.032127693518384,0,0,-0.0671001560148005,0.0126164545990961,0.128634410460303,0.0310985848305643,0,0,0.128293734998507,0.0553430461518269,0.126439420142075,0.0313739106420764,0,0,0.0940635145846975,0.0777987243975213,0.126385315405989,0.031198789899335,0,1
"result.3",0.224602216018091,-0.0305105134903947,0.0881084474886261,0.0881084474886261,0.000452526777744919,-0.000486588230750489,0.0981806965123048,0.0219789592501519,0,0,-0.000184865748472875,-0.000522257359644226,0.0981150304314921,0.0219788838586536,0.106715911998727,-0.00800270926720282,0.136011221100419,0.0310541885677247,0,0,0.346084751962403,-0.0269110581503422,0.119392949621551,0.0312800642035001,0,0,-0.105810858443237,0.00702953280570184,0.141685724041458,0.031111695949096,0,0,0.103119680073779,-0.0341099688304473,0.129815373174555,0.0314236515471555,0,0
"result.4",0.120162478482866,0.0173150252793639,0.0893356531420508,0.0893356531420508,3.2646634957445e-05,-0.000363740964851127,0.0943355044696674,0.021927474383253,0,0,0.000470329062495982,8.15118005106104e-06,0.0941952591760499,0.0219265174142514,0.104295607211377,-0.0358021408813171,0.130090107227953,0.0313867125090746,0,0,0.0604815192564555,0.00064583177982633,0.134931794410572,0.030783673821159,0,0,-0.104230313941463,0.0350746589516148,0.13673099244067,0.0306335508136955,0,0,0.179843437709277,0.0339842187789016,0.117747590143322,0.0308429697974623,0,0
"result.5",-0.0501345817414753,-0.000281461141604324,0.0938567684469681,0.0938567684469681,0.000357993326027234,0.00116167388421121,0.0911259368121111,0.0221443879870017,0,0,0.00550118033745211,0.00133303098075244,0.0906211174415061,0.0221416143030501,0.189667633544724,-0.0111983090054049,0.121883760296819,0.0316087075060154,0,0,0.174568700517863,0.0114285695886888,0.127439580109117,0.0307964974638356,0,0,-0.18895164689267,0.0135216567738273,0.135859311150464,0.0310250801373238,0,0,-0.274837864000814,-0.0119914918718975,0.13802744960731,0.0314705416799644,1,0
"result.6",-0.0956035645518825,0.0281213824397422,0.0916672795278522,0.0916672795278522,-0.00286688926665945,0.00152710669062392,0.0874850750652854,0.0223523449265864,0,0,-0.00241250324423211,0.00150854308885588,0.0874441963154391,0.0223497289189176,-0.039308499031497,0.000483346077596725,0.125448718085158,0.0313362836883551,0,0,-0.272052277610776,0.056589594917067,0.140298701950465,0.030674160704714,0,0,0.0335747204981782,0.00257086730365112,0.121996441239952,0.0318856950036847,0,0,0.0808451485070113,-0.000346830037582638,0.118975517917803,0.0316613468690968,0,0
"result.7",-0.0298988740236204,-0.00429186221666903,0.0941043675347699,0.0941043675347699,-0.000589879574613053,0.000105218786108727,0.0943162853814329,0.0221214074523342,0,0,-0.00114309733174589,0.000412300900275189,0.0942012950908979,0.0221211724578375,0.158585438391527,0.034880240374397,0.129035206676979,0.0309359193045528,0,0,0.125317480354821,0.0063679473146769,0.130182738298545,0.0313437587899623,0,0,-0.159765197540753,-0.0346698028021795,0.137731533201168,0.0316328695711918,0,0,-0.185115228402061,-0.014951671748015,0.135984607393883,0.0316517930963709,0,0
"result.8",0.13544787745443,0.0275075322332845,0.0905963332331698,0.0905963332331698,0.00176477208894946,-0.000703390660795151,0.0938967037387829,0.0219772609068222,0,0,0.00108221704787344,-0.000658141182485319,0.0938995768332736,0.0219774736360199,-0.0435361435372176,-0.011360671847195,0.133113380265004,0.0312105743200207,0,0,0.159878197238033,-0.00227380797829188,0.12596231856269,0.0312271008291479,0,0,0.0470656877151166,0.00995389052560472,0.132466603514027,0.0309505065564593,0,0,0.111017557670826,0.057288872444861,0.130282807756553,0.0304321013766142,0,0
"result.9",-0.0379089996375184,0.00212360411021915,0.0971392126639208,0.0971392126639208,0.00109787339231934,0.000407128526721882,0.0974101340739448,0.0219339865623843,0,0,0.00856099831992609,0.000409767027396628,0.0964876176765604,0.0219342745638617,0.29043944976495,0.00781442212549264,0.127194873011091,0.0309694763104278,0,0,-0.0202438979502171,0.0274842771001965,0.141919934861414,0.0306333198744,0,0,-0.288243702980311,-0.00700016507204888,0.148322592428818,0.0310692062364384,0,0,-0.0555741013248196,-0.0232370688797582,0.132831249113708,0.0312425022421285,0,0
"result.10",0.0610517762071466,0.00371565273205285,0.0978769708883181,0.0978769708883181,0.000327637440821371,0.00235735129360681,0.0995097994342875,0.0221768877075631,0,0,0.0046624101532971,0.00220037644175584,0.0988683077175666,0.0221659228542309,0.259203512543947,-0.0831149692545975,0.131480030874974,0.0318549586008655,0,0,0.234069284178336,-0.0427704867114473,0.133810845702634,0.0313549448627309,0,0,-0.258548237662304,0.0878296718418111,0.149976185023018,0.0308707521336564,0,0,-0.111965731764043,0.050201792175553,0.143027033645878,0.0312091840169457,0,0
"result.11",-0.152030519328323,0.00625340935379894,0.0901019236431687,0.0901019236431687,-7.7883956138905e-05,0.000362081604139274,0.0859976727691795,0.0219277191906761,0,0,0.000594450462446995,0.00023033999543912,0.0855816895448873,0.0219189631446835,0.232530760012419,-0.0956009560355979,0.115463928164369,0.0315579738285651,0,0,0.0273474789244958,-0.0286569333088156,0.121971027094003,0.0308552302125609,0,0,-0.232686527924697,0.0963251192438764,0.127774222161025,0.0304629819141608,0,0,-0.331408517581141,0.0411637520164134,0.132875697730145,0.0312523904866685,1,0
"result.12",-0.182551427561809,-0.00480886014325004,0.10184382801405,0.10184382801405,-0.000440627958266077,0.000176050372593722,0.0940926853584549,0.0220977875187979,0,0,0.00186719955613198,0.000113168873365742,0.0934620226511336,0.0220973958849735,-0.280710280023872,0.0152472788755924,0.141757461444081,0.0312252533679462,0,0,-0.305794795335052,0.00216640762591146,0.142387229399573,0.0312487951186753,0,0,0.27982902410734,-0.014895178130405,0.124376842063981,0.0312767282470996,0,0,-0.0593080597885663,-0.0117841279124115,0.145670616243352,0.031170003186218,0,0
